dB20(VF("/CSAout")) (multi=1) X,dB20(VF("/CSAout")) (multi=1) Y
681292069.0579613,-11.07990659879066
735642254.4596413,-12.28918963619271
794328234.7242815,-13.52366332458685
857695898.5908941,-14.78238779579518
926118728.1287935,-16.06439851402591
1000000000,-17.36870900555591
1079775162.32771,-18.69430005023739
1165914401.179832,-20.04009547895111
1258925411.794167,-21.40492585027502
1359356390.878526,-22.78748240278427
1467799267.62207,-24.18626475909736
1584893192.461113,-25.59952680202679
1711328304.161781,-27.0252258399006
1847849797.422291,-28.4609804906447
1995262314.96888,-29.90404252175123
2154434690.031884,-31.35128712350098
2326305067.153626,-32.79922477522226
2511886431.50958,-34.24403611187913
2712272579.332028,-35.68162919745058
2928644564.625237,-37.10771661273893
3162277660.168379,-38.5179080060387
3414548873.833601,-39.90781243876847
3686945064.519575,-41.27314411050274
3981071705.534972,-42.60982491165925
4298662347.082276,-43.91407768891465
4641588833.612779,-45.18250501725292
5011872336.272722,-46.41214951256677
5411695265.464636,-47.60053314345632
5843414133.735175,-48.74567448097712
6309573444.801931,-49.84608426672787
6812920690.579612,-50.90074102484598
7356422544.596412,-51.90904964948511
7943282347.242813,-52.87078692366037
8576958985.908939,-53.78603870468964
9261187281.287933,-54.65513396891624
9999999999.999998,-55.47858096795792
10797751623.27709,-56.25701036317349
